"","title","sales","console_PS4","console_XBox1","console_Switch","genre_Fighting","genre_Misc","genre_Platform","genre_Racing","genre_RPG","genre_Shooter","genre_Sports","genre_Action_Adventure","player_vector","esrb_vector","metascore","user_score_x10","igdb_member_rating","igdb_critic_rating","ign_x10","mgAverage"
"356","Sea of Thieves",590374,0,1,0,0,0,0,0,0,0,0,1,1,2,69,50,59,66,70,69.8
"357","Secret of Mana",149875,1,0,0,0,0,0,0,1,0,0,0,0,1,63,61,85,76.52,90,83.6
"358","Sega Genesis Classics",84209,1,0,0,0,1,0,0,0,0,0,0,1,2,75,74,83,83,78,40
"359","Senran Kagura Burst Re:Newal",25091,1,0,0,0,0,0,0,0,0,0,1,0,3,65,42,70,68,63.28,71.4
"360","Senran Kagura: Estival Versus",117087,1,0,0,0,0,0,0,0,0,0,1,2,3,67,77,64,68,69.6857142857143,72.4285714285714
"361","Senran Kagura: Peach Beach Splash",49217,1,0,0,0,0,0,0,0,0,0,1,2,3,70,71,50,76,66.75,66.75
"362","Shadow of the Colossus",863828,1,0,0,0,0,0,0,0,0,0,1,0,2,91,79,91,89,97,86.8
"363","Shadow of the Tomb Raider",1457905,1,0,0,0,0,0,0,0,0,0,1,1,3,75,73,78,80,90,82.5
"364","Shantae: Half-Genie Hero",34948,0,0,1,0,0,1,0,0,0,0,0,0,2,82,76,83,81,80,80.6
"365","Shenmue I & II",87676,1,0,0,0,0,0,0,0,0,0,1,2,3,73.4814814814815,73.4814814814815,73,76,73.4814814814815,71.4444444444444
"366","Shining Resonance Refrain",37534,0,0,1,0,0,0,0,1,0,0,0,0,2,70,78,90,62,74.62,73.1
"367","Sniper Elite 3",181057,1,0,0,0,0,0,0,0,0,0,1,2,3,67,69,72,68,82,75
"368","Sniper Elite 4",230400,1,0,0,0,0,0,0,0,1,0,0,2,3,77,69,69,76,83,80
"369","Sniper: Ghost Warrior 3",103226,1,0,0,0,0,0,0,0,1,0,0,2,3,55,64,70,53,55,75
"370","Song of the Deep",23384,0,1,0,0,0,0,0,0,0,0,1,2,3,66,72,76,69,60,78.125
"371","Sonic Forces",117083,0,0,1,0,0,1,0,0,0,0,0,0,1,57,70,59,57,69,60.6
"372","Sonic Mania",87073,0,0,1,0,0,1,0,0,0,0,0,0,0,86,88,85,85,87,82.1
